yyyy.MM.dd (DDD) HH:mm:ss   foF2    h'F    hpF2
2017.08.02 (214) 04:00:11  NaN     NaN     NaN  
2017.08.02 (214) 04:04:59  NaN     NaN     NaN  
2017.08.02 (214) 04:10:23  NaN     NaN     NaN  
2017.08.02 (214) 04:15:11  NaN     NaN     NaN  
2017.08.02 (214) 04:19:59  NaN     NaN     NaN  
2017.08.02 (214) 04:25:23  NaN     NaN     NaN  
2017.08.02 (214) 04:30:11  NaN     NaN     NaN  
2017.08.02 (214) 04:34:59  NaN     NaN     NaN  
2017.08.02 (214) 04:40:23  NaN     NaN     NaN  
2017.08.02 (214) 04:45:11  NaN     NaN     NaN  
2017.08.02 (214) 04:49:59  NaN     NaN     NaN  
2017.08.02 (214) 04:55:23  NaN     NaN     NaN  
2017.08.02 (214) 05:00:11  NaN     NaN     NaN  
2017.08.02 (214) 05:04:59  NaN     NaN     NaN  
2017.08.02 (214) 05:10:23  NaN     NaN     NaN  
2017.08.02 (214) 05:15:11  NaN     NaN     NaN  
2017.08.02 (214) 05:19:59  NaN     NaN     NaN  
2017.08.02 (214) 05:25:23  NaN     NaN     NaN  
2017.08.02 (214) 05:30:11  NaN     NaN     NaN  
2017.08.02 (214) 05:34:59  NaN     NaN     NaN  
2017.08.02 (214) 05:40:23  NaN     NaN     NaN  
2017.08.02 (214) 05:45:11  NaN     NaN     NaN  
2017.08.02 (214) 05:49:59  NaN     NaN     NaN  
2017.08.02 (214) 05:55:23  NaN     NaN     NaN  
2017.08.02 (214) 06:00:11  NaN     NaN     NaN  
2017.08.02 (214) 06:04:59  NaN     NaN     NaN  
2017.08.02 (214) 06:10:23  NaN     NaN     NaN  
2017.08.02 (214) 06:15:11  NaN     NaN     NaN  
2017.08.02 (214) 06:19:59  NaN     NaN     NaN  
2017.08.02 (214) 06:25:23  NaN     NaN     NaN  
2017.08.02 (214) 06:30:11  NaN     NaN     NaN  
2017.08.02 (214) 06:34:59  NaN     NaN     NaN  
2017.08.02 (214) 06:40:23  NaN     NaN     NaN  
2017.08.02 (214) 06:45:11  NaN     NaN     NaN  
2017.08.02 (214) 06:49:59  NaN     NaN     NaN  
2017.08.02 (214) 06:55:23  NaN     NaN     NaN  
2017.08.02 (214) 07:00:11  NaN     NaN     NaN  
2017.08.02 (214) 07:04:59  NaN     NaN     NaN  
2017.08.02 (214) 07:10:23  NaN     NaN     NaN  
2017.08.02 (214) 07:15:11  NaN     NaN     NaN  
2017.08.02 (214) 07:19:59  NaN     NaN     NaN  
2017.08.02 (214) 07:25:23  NaN     NaN     NaN  
2017.08.02 (214) 07:30:11  NaN     NaN     NaN  
2017.08.02 (214) 07:34:59  NaN     NaN     NaN  
2017.08.02 (214) 07:40:23  NaN     NaN     NaN  
2017.08.02 (214) 07:45:11  NaN     NaN     NaN  
2017.08.02 (214) 07:49:59  NaN     NaN     NaN  
2017.08.02 (214) 07:55:23  NaN     NaN     NaN  
2017.08.02 (214) 08:00:11  NaN     NaN     NaN  
2017.08.02 (214) 08:04:59  NaN     NaN     NaN  
2017.08.02 (214) 08:10:23  NaN     NaN     NaN  
2017.08.02 (214) 08:15:11  NaN     NaN     NaN  
2017.08.02 (214) 08:19:59  NaN     NaN     NaN  
2017.08.02 (214) 08:25:23  NaN     NaN     NaN  
2017.08.02 (214) 08:30:11  NaN     NaN     NaN  
2017.08.02 (214) 08:34:59  NaN     NaN     NaN  
2017.08.02 (214) 08:40:23  NaN     NaN     NaN  
2017.08.02 (214) 08:45:11  NaN     NaN     NaN  
2017.08.02 (214) 08:49:59  NaN     NaN     NaN  
2017.08.02 (214) 08:55:23  NaN     NaN     NaN  
2017.08.02 (214) 09:00:11  NaN     NaN     NaN  
2017.08.02 (214) 09:04:59  NaN     NaN     NaN  
2017.08.02 (214) 09:10:23  NaN     NaN     NaN  
2017.08.02 (214) 09:15:11  NaN     NaN     NaN  
2017.08.02 (214) 09:19:59  NaN     NaN     NaN  
2017.08.02 (214) 09:25:23  NaN     NaN     NaN  
2017.08.02 (214) 09:30:11  NaN     NaN     NaN  
2017.08.02 (214) 09:34:59  NaN     NaN     NaN  
2017.08.02 (214) 09:40:23    3.2   216.0   239.0
2017.08.02 (214) 09:45:11    3.4   215.0   234.0
2017.08.02 (214) 09:49:59    3.5   210.0   225.0
2017.08.02 (214) 09:55:23    3.6   210.0   230.0
2017.08.02 (214) 10:00:11    3.8   212.0   227.0
2017.08.02 (214) 10:04:59    3.9   209.0   225.0
2017.08.02 (214) 10:10:23    3.9   212.0   225.0
2017.08.02 (214) 10:15:11    4.0   213.0   225.0
2017.08.02 (214) 10:19:59    4.0   216.0   227.0
2017.08.02 (214) 10:25:23    4.0   213.0   231.0
2017.08.02 (214) 10:30:11    4.2   216.0   230.0
2017.08.02 (214) 10:34:59    4.2   219.0   230.0
2017.08.02 (214) 10:40:23    4.2   216.0   230.0
2017.08.02 (214) 10:45:11    4.3   216.0   242.0
2017.08.02 (214) 10:49:59    4.2   218.0   231.0
2017.08.02 (214) 10:55:23    4.4   216.0   244.0
