yyyy.MM.dd (DDD) HH:mm:ss   foF2    h'F    hpF2
2017.08.02 (214) 00:49:59    2.3   231.0   254.0
2017.08.02 (214) 00:55:23    2.2   237.0   273.0
2017.08.02 (214) 01:00:11    2.2   248.0   280.0
2017.08.02 (214) 01:04:59    2.1   239.0   256.0
2017.08.02 (214) 01:10:23    2.2   239.0   270.0
2017.08.02 (214) 01:15:11    2.1   242.0   268.0
2017.08.02 (214) 01:19:59    1.9   228.0   250.0
2017.08.02 (214) 01:25:23    2.0   234.0   279.0
2017.08.02 (214) 01:30:11  NaN     NaN     NaN  
2017.08.02 (214) 01:34:59  NaN     NaN     NaN  
2017.08.02 (214) 01:40:23  NaN     NaN     NaN  
2017.08.02 (214) 01:45:11  NaN     NaN     NaN  
2017.08.02 (214) 01:49:59    2.3   303.0   340.0
2017.08.02 (214) 01:55:23    2.0   274.0   293.0
2017.08.02 (214) 02:00:11    2.0   276.0   290.0
2017.08.02 (214) 02:04:59    2.0   267.0   283.0
2017.08.02 (214) 02:10:23    2.0   267.0   294.0
2017.08.02 (214) 02:15:11  NaN     262.0   NaN  
2017.08.02 (214) 02:19:59  NaN     251.0   NaN  
2017.08.02 (214) 02:25:23    1.9   250.0   277.0
2017.08.02 (214) 02:30:11  NaN     274.0   NaN  
2017.08.02 (214) 02:34:59    2.0   268.0   303.0
2017.08.02 (214) 02:40:23    2.0   242.0   288.0
2017.08.02 (214) 02:45:11    2.0   250.0   270.0
2017.08.02 (214) 02:49:59    2.0   247.0   273.0
2017.08.02 (214) 02:55:23  NaN     247.0   NaN  
2017.08.02 (214) 03:00:11  NaN     NaN     NaN  
2017.08.02 (214) 03:04:59  NaN     NaN     NaN  
2017.08.02 (214) 03:10:23  NaN     NaN     NaN  
2017.08.02 (214) 03:15:11    1.9   279.0   340.0
2017.08.02 (214) 03:19:59    1.9   282.0   319.0
2017.08.02 (214) 03:25:23    1.9   276.0   322.0
2017.08.02 (214) 03:30:11    1.9   270.0   297.0
2017.08.02 (214) 03:34:59    1.9   271.0   299.0
2017.08.02 (214) 03:40:23    1.8   239.0   288.0
2017.08.02 (214) 03:45:11    1.9   299.0   339.0
2017.08.02 (214) 03:49:59  NaN     259.0   NaN  
2017.08.02 (214) 03:55:23  NaN     NaN     NaN  
2017.08.02 (214) 04:00:11  NaN     NaN     NaN  
2017.08.02 (214) 04:04:59    1.9   322.0   404.0
2017.08.02 (214) 04:10:23    2.2   316.0   375.0
2017.08.02 (214) 04:15:11    2.2   314.0   342.0
2017.08.02 (214) 04:19:59    2.2   309.0   340.0
2017.08.02 (214) 04:25:23    2.1   302.0   328.0
2017.08.02 (214) 04:30:11  NaN     300.0   NaN  
2017.08.02 (214) 04:34:59    1.9   312.0   349.0
2017.08.02 (214) 04:40:23    2.0   311.0   357.0
2017.08.02 (214) 04:45:11    2.2   316.0   355.0
2017.08.02 (214) 04:49:59  NaN     316.0   NaN  
2017.08.02 (214) 04:55:23  NaN     319.0   NaN  
2017.08.02 (214) 05:00:11    2.2   323.0   374.0
2017.08.02 (214) 05:04:59    2.3   326.0   365.0
2017.08.02 (214) 05:10:23    2.3   316.0   374.0
2017.08.02 (214) 05:15:11  NaN     308.0   NaN  
2017.08.02 (214) 05:19:59    2.4   314.0   381.0
2017.08.02 (214) 05:25:23    2.3   308.0   380.0
2017.08.02 (214) 05:30:11    2.5   319.0   377.0
2017.08.02 (214) 05:34:59    2.2   317.0   366.0
2017.08.02 (214) 05:40:23    2.3   316.0   369.0
2017.08.02 (214) 05:45:11    2.3   311.0   383.0
2017.08.02 (214) 05:49:59    2.3   305.0   369.0
2017.08.02 (214) 05:55:23  NaN     300.0   NaN  
2017.08.02 (214) 06:00:11  NaN     305.0   NaN  
2017.08.02 (214) 06:04:59  NaN     297.0   NaN  
2017.08.02 (214) 06:10:23    2.2   300.0   328.0
2017.08.02 (214) 06:15:11    2.4   282.0   323.0
2017.08.02 (214) 06:19:59    2.4   294.0   323.0
2017.08.02 (214) 06:25:23  NaN     267.0   NaN  
2017.08.02 (214) 06:30:11  NaN     286.0   NaN  
2017.08.02 (214) 06:34:59  NaN     291.0   NaN  
2017.08.02 (214) 06:40:23  NaN     NaN     NaN  
2017.08.02 (214) 06:45:11  NaN     NaN     NaN  
2017.08.02 (214) 06:49:59  NaN     NaN     NaN  
2017.08.02 (214) 06:55:23  NaN     NaN     NaN  
2017.08.02 (214) 07:00:11  NaN     NaN     NaN  
2017.08.02 (214) 07:04:59    2.1   256.0   277.0
2017.08.02 (214) 07:10:23    2.4   268.0   279.0
2017.08.02 (214) 07:15:11    2.4   267.0   290.0
2017.08.02 (214) 07:19:59    2.4   283.0   300.0
2017.08.02 (214) 07:25:23  NaN     NaN     NaN  
2017.08.02 (214) 07:30:11  NaN     NaN     NaN  
2017.08.02 (214) 07:34:59  NaN     NaN     NaN  
2017.08.02 (214) 07:40:23  NaN     NaN     NaN  
2017.08.02 (214) 07:45:11  NaN     NaN     NaN  
2017.08.02 (214) 07:49:59  NaN     NaN     NaN  
2017.08.02 (214) 07:55:23  NaN     NaN     NaN  
2017.08.02 (214) 08:00:11    2.7   213.0   227.0
2017.08.02 (214) 08:04:59  NaN     NaN     NaN  
2017.08.02 (214) 08:10:23  NaN     NaN     NaN  
2017.08.02 (214) 08:15:11  NaN     NaN     NaN  
2017.08.02 (214) 08:19:59  NaN     NaN     NaN  
2017.08.02 (214) 08:25:23  NaN     NaN     NaN  
2017.08.02 (214) 08:30:11  NaN     NaN     NaN  
2017.08.02 (214) 08:34:59  NaN     NaN     NaN  
2017.08.02 (214) 08:40:23  NaN     NaN     NaN  
2017.08.02 (214) 08:45:11  NaN     NaN     NaN  
2017.08.02 (214) 08:49:59  NaN     NaN     NaN  
2017.08.02 (214) 08:55:23  NaN     NaN     NaN  
2017.08.02 (214) 09:00:11  NaN     NaN     NaN  
2017.08.02 (214) 09:04:59  NaN     NaN     NaN  
2017.08.02 (214) 09:10:23  NaN     NaN     NaN  
2017.08.02 (214) 09:15:11  NaN     NaN     NaN  
2017.08.02 (214) 09:19:59  NaN     NaN     NaN  
2017.08.02 (214) 09:25:23  NaN     NaN     NaN  
2017.08.02 (214) 09:30:11  NaN     NaN     NaN  
2017.08.02 (214) 09:34:59  NaN     NaN     NaN  
2017.08.02 (214) 09:40:23    2.3   254.0   285.0
2017.08.02 (214) 09:45:11    2.6   241.0   265.0
2017.08.02 (214) 09:49:59    3.0   233.0   259.0
2017.08.02 (214) 09:55:23    3.2   234.0   248.0
2017.08.02 (214) 10:00:11    3.5   219.0   237.0
2017.08.02 (214) 10:04:59    3.7   216.0   227.0
2017.08.02 (214) 10:10:23    3.9   222.0   231.0
2017.08.02 (214) 10:15:11    4.0   216.0   224.0
2017.08.02 (214) 10:19:59    4.0   215.0   227.0
2017.08.02 (214) 10:25:23    4.0   205.0   228.0
2017.08.02 (214) 10:30:11    4.2   215.0   237.0
2017.08.02 (214) 10:34:59    4.3   218.0   245.0
2017.08.02 (214) 10:40:23    4.4   211.0   241.0
2017.08.02 (214) 10:45:11    4.5   211.0   244.0
