yyyy.MM.dd (DDD) HH:mm:ss   foF2    h'F    hpF2
2017.08.01 (213) 17:40:23    4.7   193.0   231.0
2017.08.01 (213) 17:45:11    4.5   186.0   221.0
2017.08.01 (213) 17:49:59    4.6   186.0   233.0
2017.08.01 (213) 17:55:23    4.8   183.0   262.0
2017.08.01 (213) 18:00:11    5.0   191.0   335.0
2017.08.01 (213) 18:04:59    5.1   200.0   350.0
2017.08.01 (213) 18:10:23    5.2   195.0   335.0
2017.08.01 (213) 18:15:11    5.3   191.0   354.0
2017.08.01 (213) 18:19:59    5.4   207.0   335.0
2017.08.01 (213) 18:25:23    5.5   198.0   312.0
2017.08.01 (213) 18:30:11    5.5   207.0   307.0
2017.08.01 (213) 18:34:59    5.4   207.0   319.0
2017.08.01 (213) 18:40:23    5.5   191.0   307.0
2017.08.01 (213) 18:45:11    5.4   200.0   302.0
2017.08.01 (213) 18:49:59    5.3   186.0   304.0
2017.08.01 (213) 18:55:23    5.3   181.0   297.0
2017.08.01 (213) 19:00:11    5.3   195.0   319.0
2017.08.01 (213) 19:04:59    5.4   217.0   328.0
2017.08.01 (213) 19:10:23    5.6   202.0   314.0
2017.08.01 (213) 19:15:11    5.6   202.0   307.0
2017.08.01 (213) 19:19:59    5.7   226.0   307.0
2017.08.01 (213) 19:25:23    5.8   217.0   293.0
2017.08.01 (213) 19:30:11    5.7   233.0   295.0
2017.08.01 (213) 19:34:59    5.8   250.0   293.0
2017.08.01 (213) 19:40:23    5.8   217.0   278.0
2017.08.01 (213) 19:45:11    5.9   228.0   278.0
2017.08.01 (213) 19:49:59    5.9   236.0   278.0
2017.08.01 (213) 19:55:23    5.8   224.0   271.0
2017.08.01 (213) 20:00:11    5.8   226.0   264.0
2017.08.01 (213) 20:04:59    5.7   243.0   257.0
2017.08.01 (213) 20:10:23    5.6   240.0   262.0
2017.08.01 (213) 20:15:11    5.7   226.0   257.0
2017.08.01 (213) 20:19:59    5.6   226.0   259.0
2017.08.01 (213) 20:25:23    5.8   231.0   257.0
2017.08.01 (213) 20:30:11    5.8   228.0   247.0
2017.08.01 (213) 20:34:59    5.7   221.0   238.0
2017.08.01 (213) 20:40:23    5.7   231.0   243.0
2017.08.01 (213) 20:45:11    5.6   226.0   240.0
2017.08.01 (213) 20:49:59    5.6   228.0   226.0
2017.08.01 (213) 20:55:23    5.4   228.0   228.0
2017.08.01 (213) 21:00:11    5.1   217.0   228.0
2017.08.01 (213) 21:04:59    4.8   212.0   236.0
2017.08.01 (213) 21:10:23    4.4   214.0   224.0
2017.08.01 (213) 21:15:11    4.3   207.0   233.0
2017.08.01 (213) 21:19:59    4.3   202.0   240.0
2017.08.01 (213) 21:25:23    4.3   207.0   250.0
2017.08.01 (213) 21:30:11    4.2   221.0   259.0
2017.08.01 (213) 21:34:59    4.2   226.0   259.0
2017.08.01 (213) 21:40:23    4.2   221.0   264.0
2017.08.01 (213) 21:45:11    4.2   224.0   281.0
2017.08.01 (213) 21:49:59    4.4   226.0   269.0
2017.08.01 (213) 21:55:23    4.4   231.0   281.0
2017.08.01 (213) 22:00:11    4.2   228.0   262.0
2017.08.01 (213) 22:04:59    4.3   231.0   250.0
2017.08.01 (213) 22:10:23    4.4   224.0   255.0
2017.08.01 (213) 22:15:11    4.7   224.0   252.0
2017.08.01 (213) 22:19:59    4.8   226.0   257.0
2017.08.01 (213) 22:25:23    4.8   219.0   252.0
2017.08.01 (213) 22:30:11    4.8   212.0   250.0
2017.08.01 (213) 22:34:59    4.9   209.0   240.0
2017.08.01 (213) 22:40:23    4.7   219.0   238.0
2017.08.01 (213) 22:45:11    4.7   207.0   231.0
2017.08.01 (213) 22:49:59    4.5   205.0   231.0
2017.08.01 (213) 22:55:23    4.5   191.0   236.0
2017.08.01 (213) 23:00:11    4.3   214.0   231.0
2017.08.01 (213) 23:04:59    4.2   205.0   233.0
2017.08.01 (213) 23:10:23    4.3   209.0   238.0
2017.08.01 (213) 23:15:11    4.2   200.0   224.0
2017.08.01 (213) 23:19:59    4.0   205.0   238.0
2017.08.01 (213) 23:25:23    3.9   212.0   236.0
2017.08.01 (213) 23:30:11    3.7   207.0   219.0
2017.08.01 (213) 23:34:59    3.7   200.0   224.0
2017.08.01 (213) 23:40:23    3.6   202.0   236.0
2017.08.01 (213) 23:45:11    3.5   209.0   233.0
2017.08.01 (213) 23:49:59    3.4   207.0   238.0
2017.08.01 (213) 23:55:23    3.3   207.0   224.0
2017.08.02 (214) 00:00:11    3.2   207.0   226.0
2017.08.02 (214) 00:04:59    3.1   205.0   224.0
2017.08.02 (214) 00:10:23    2.9   207.0   221.0
2017.08.02 (214) 00:15:11    2.9   202.0   219.0
2017.08.02 (214) 00:19:59    2.7   202.0   221.0
2017.08.02 (214) 00:25:23    2.6   214.0   231.0
2017.08.02 (214) 00:30:11    2.5   212.0   226.0
2017.08.02 (214) 00:34:59    2.4   209.0   214.0
2017.08.02 (214) 00:40:23    2.2   209.0   236.0
2017.08.02 (214) 00:45:11    2.3   240.0   255.0
2017.08.02 (214) 00:49:59    2.3   228.0   250.0
2017.08.02 (214) 00:55:23    2.2   238.0   245.0
2017.08.02 (214) 01:00:11    2.2   243.0   255.0
2017.08.02 (214) 01:04:59    2.1   243.0   247.0
2017.08.02 (214) 01:10:23  NaN     NaN     NaN  
2017.08.02 (214) 01:15:11    2.0   238.0   247.0
2017.08.02 (214) 01:19:59  NaN     NaN     NaN  
2017.08.02 (214) 01:25:23  NaN     NaN     NaN  
2017.08.02 (214) 01:30:11  NaN     NaN     NaN  
2017.08.02 (214) 01:34:59  NaN     NaN     NaN  
2017.08.02 (214) 01:40:23  NaN     NaN     NaN  
2017.08.02 (214) 01:45:11  NaN     NaN     NaN  
2017.08.02 (214) 01:49:59  NaN     NaN     NaN  
2017.08.02 (214) 01:55:23  NaN     NaN     NaN  
2017.08.02 (214) 02:00:11    2.0   274.0   293.0
2017.08.02 (214) 02:04:59  NaN     NaN     NaN  
2017.08.02 (214) 02:10:23  NaN     NaN     NaN  
2017.08.02 (214) 02:15:11  NaN     NaN     NaN  
2017.08.02 (214) 02:19:59  NaN     NaN     NaN  
2017.08.02 (214) 02:25:23  NaN     NaN     NaN  
2017.08.02 (214) 02:30:11  NaN     NaN     NaN  
2017.08.02 (214) 02:34:59    2.0   259.0   288.0
2017.08.02 (214) 02:40:23    2.0   245.0   259.0
2017.08.02 (214) 02:45:11    2.0   240.0   266.0
2017.08.02 (214) 02:49:59    2.0   247.0   259.0
2017.08.02 (214) 02:55:23  NaN     NaN     NaN  
2017.08.02 (214) 03:00:11  NaN     NaN     NaN  
2017.08.02 (214) 03:04:59  NaN     NaN     NaN  
2017.08.02 (214) 03:10:23  NaN     NaN     NaN  
2017.08.02 (214) 03:15:11    1.9   276.0   312.0
2017.08.02 (214) 03:19:59    1.9   281.0   293.0
2017.08.02 (214) 03:25:23    1.9   274.0   300.0
2017.08.02 (214) 03:30:11  NaN     NaN     NaN  
2017.08.02 (214) 03:34:59    1.9   259.0   297.0
2017.08.02 (214) 03:40:23  NaN     NaN     NaN  
2017.08.02 (214) 03:45:11    1.9   274.0   314.0
2017.08.02 (214) 03:49:59  NaN     NaN     NaN  
2017.08.02 (214) 03:55:23  NaN     NaN     NaN  
2017.08.02 (214) 04:00:11  NaN     NaN     NaN  
2017.08.02 (214) 04:04:59    1.9   335.0   383.0
2017.08.02 (214) 04:10:23  NaN     NaN     NaN  
2017.08.02 (214) 04:15:11    1.9   323.0   328.0
2017.08.02 (214) 04:19:59  NaN     NaN     NaN  
2017.08.02 (214) 04:25:23    1.9   307.0   323.0
2017.08.02 (214) 04:30:11  NaN     NaN     NaN  
2017.08.02 (214) 04:34:59    2.0   321.0   321.0
2017.08.02 (214) 04:40:23    2.0   321.0   342.0
2017.08.02 (214) 04:45:11  NaN     NaN     NaN  
2017.08.02 (214) 04:49:59  NaN     NaN     NaN  
2017.08.02 (214) 04:55:23  NaN     NaN     NaN  
2017.08.02 (214) 05:00:11  NaN     NaN     NaN  
2017.08.02 (214) 05:04:59  NaN     NaN     NaN  
